alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.773333333333333317e-01,3.489260441584790687e-39,7.260686492523529523e+03,7.260686492523529523e+03,10,0
256,4.775000000000000355e-01,3.124158282293985764e-39,6.687762053365034262e+03,6.687762053365034262e+03,10,0
256,4.776666666666666838e-01,2.797195193824307865e-39,6.159874700911412219e+03,6.159874700911412219e+03,10,0
256,4.778333333333333321e-01,2.504393758644031909e-39,5.673497552392738726e+03,5.673497552392738726e+03,10,0
256,4.780000000000000360e-01,2.242190662172184584e-39,5.225378865226544804e+03,5.225378865226544804e+03,10,0
256,4.781666666666666843e-01,2.007393650797901313e-39,4.812520654751324400e+03,4.812520654751324400e+03,10,0
256,4.783333333333333326e-01,1.797142956258789789e-39,4.432158967289869906e+03,4.432158967289869906e+03,10,0
256,4.785000000000000364e-01,1.608876723686445815e-39,4.081745680886374430e+03,4.081745680886374430e+03,10,0
256,4.786666666666666847e-01,1.440300028477434918e-39,3.758931715869383424e+03,3.758931715869383424e+03,10,0
256,4.788333333333333330e-01,1.289357110062149704e-39,3.461551546443811731e+03,3.461551546443811731e+03,10,0
256,4.790000000000000369e-01,1.154206489125104378e-39,3.187608912886471444e+03,3.187608912886471444e+03,10,0
256,4.791666666666666852e-01,1.033198669335847486e-39,2.935263641634749092e+03,2.935263641634749092e+03,10,0
256,4.793333333333333335e-01,9.248561555886561401e-40,2.702819487690695041e+03,2.702819487690695041e+03,10,0
256,4.795000000000000373e-01,8.278555484978185347e-40,2.488712920351579214e+03,2.488712920351579214e+03,10,0
256,4.796666666666666856e-01,7.410114997672516218e-40,2.291502779352381822e+03,2.291502779352381822e+03,10,0
256,4.798333333333333339e-01,6.632623353610780548e-40,2.109860734122876238e+03,2.109860734122876238e+03,10,0
256,4.799999999999999822e-01,5.936571733998305750e-40,1.942562484044091889e+03,1.942562484044091889e+03,10,0
256,4.801666666666666861e-01,5.313443816381570481e-40,1.788479642374725245e+03,1.788479642374725245e+03,10,0
256,4.803333333333333344e-01,4.755612354560384722e-40,1.646572250936353612e+03,1.646572250936353612e+03,10,0
256,4.805000000000000382e-01,4.256246517085167871e-40,1.515881876725319216e+03,1.515881876725319216e+03,10,0
256,4.806666666666666865e-01,3.809228867017813582e-40,1.395525245385630797e+03,1.395525245385630797e+03,10,0
256,4.808333333333333348e-01,3.409080981465773800e-40,1.284688369952033327e+03,1.284688369952033327e+03,10,0
256,4.810000000000000386e-01,3.050896813270620883e-40,1.182621136484705175e+03,1.182621136484705175e+03,10,0
256,4.811666666666666869e-01,2.730282990322881056e-40,1.088632311177213069e+03,1.088632311177213069e+03,10,0
256,4.813333333333333353e-01,2.443305331442255624e-40,1.002084936254675995e+03,1.002084936254675995e+03,10,0
256,4.815000000000000391e-01,2.186440932582803084e-40,9.223920845053652329e+02,9.223920845053652329e+02,10,0
256,4.816666666666666874e-01,1.956535244186308403e-40,8.490129446169381708e+02,8.490129446169381708e+02,10,0
256,4.818333333333333357e-01,1.750763620628598722e-40,7.814492116408982838e+02,7.814492116408982838e+02,10,0
256,4.820000000000000395e-01,1.566596876593124722e-40,7.192417588936443735e+02,7.192417588936443735e+02,10,0
256,4.821666666666666878e-01,1.401770433508294117e-40,6.619675694350124786e+02,6.619675694350124786e+02,10,0
256,4.823333333333333361e-01,1.254256682482070013e-40,6.092369069564057327e+02,6.092369069564057327e+02,10,0
256,4.825000000000000400e-01,1.122240228973977146e-40,5.606907074714633836e+02,5.606907074714633836e+02,10,0
256,4.826666666666666883e-01,1.004095719227028724e-40,5.159981746429931491e+02,5.159981746429931491e+02,10,0
256,4.828333333333333366e-01,8.983679796551018148e-41,4.748545629087050770e+02,4.748545629087050770e+02,10,0
256,4.829999999999999849e-01,8.037542283235964059e-41,4.369791337962695366e+02,4.369791337962695366e+02,10,0
