alpha,dimension,gamma,scaled_difference
2,2,0.084,-1.8450184501845017
2,2,0.085,-1.8433179723502304
2,2,0.08600000000000001,-1.8416206261510129
2,2,0.08700000000000001,-1.8399264029438822
2,2,0.088,-1.838235294117647
2,2,0.089,-1.8365472910927456
2,2,0.09,-1.8348623853211008
2,2,0.091,-1.8331805682859763
2,2,0.092,-1.8315018315018314
2,2,0.093,-1.8298261665141813
2,2,0.094,-1.8281535648994514
2,2,0.095,-1.8264840182648403
2,2,0.096,-1.824817518248175
2,2,0.097,-1.8231540565177757
2,2,0.098,-1.8214936247723132
2,2,0.099,-1.8198362147406735
2,2,0.1,-1.8181818181818181
2,2,0.101,-1.8165304268846503
2,2,0.10200000000000001,-1.8148820326678765
2,2,0.10300000000000001,-1.813236627379873
2,2,0.10400000000000001,-1.8115942028985506
2,2,0.105,-1.8099547511312217
2,2,0.106,-1.8083182640144664
2,2,0.107,-1.806684733514002
2,2,0.108,-1.8050541516245486
2,2,0.109,-1.8034265103697025
2,2,0.11,-1.8018018018018016
2,2,0.111,-1.8001800180018002
2,2,0.112,-1.7985611510791366
2,2,0.113,-1.7969451931716083
2,2,0.114,-1.7953321364452421
2,2,0.115,-1.7937219730941705
2,2,0.116,-1.7921146953405016
2,2,0.117,-1.7905102954341987
2,2,0.11800000000000001,-1.7889087656529514
2,2,0.11900000000000001,-1.7873100983020553
2,2,0.12,-1.7857142857142856
2,2,0.121,-1.784121320249777
2,2,0.122,-1.7825311942959003
2,2,0.123,-1.7809439002671417
2,2,0.124,-1.779359430604982
2,2,0.125,-1.7777777777777777
2,2,0.126,-1.7761989342806397
2,2,0.127,-1.774622892635315
2,2,0.128,-1.7730496453900708
2,2,0.129,-1.7714791851195748
2,2,0.13,-1.7699115044247788
2,2,0.131,-1.7683465959328029
2,2,0.132,-1.7667844522968197
2,2,0.133,-1.7652250661959399
2,2,0.134,-1.7636684303350971
2,2,0.135,-1.7621145374449338
2,2,0.136,-1.76056338028169
2,2,0.137,-1.7590149516270888
2,2,0.138,-1.7574692442882252
2,2,0.139,-1.7559262510974538
2,2,0.14,-1.7543859649122806
2,2,0.14100000000000001,-1.7528483786152498
2,2,0.14200000000000002,-1.7513134851138354
2,2,0.14300000000000002,-1.7497812773403325
2,2,0.14400000000000002,-1.7482517482517481
2,2,0.145,-1.7467248908296944
2,2,0.146,-1.7452006980802794
2,2,0.147,-1.7436791630340016
2,2,0.148,-1.7421602787456447
2,2,0.149,-1.7406440382941688
2,2,0.15,-1.7391304347826089
2,2,0.151,-1.737619461337967
2,2,0.152,-1.7361111111111112
2,2,0.153,-1.7346053772766694
2,2,0.154,-1.733102253032929
2,2,0.155,-1.7316017316017316
2,2,0.156,-1.7301038062283738
2,2,0.157,-1.7286084701815039
2,2,0.158,-1.7271157167530227
2,2,0.159,-1.725625539257981
2,2,0.16,-1.7241379310344829
2,2,0.161,-1.722652885443583
2,2,0.162,-1.721170395869191
2,2,0.163,-1.7196904557179706
2,2,0.164,-1.718213058419244
2,2,0.165,-1.7167381974248928
2,2,0.166,-1.7152658662092626
2,2,0.167,-1.713796058269066
2,2,0.168,-1.7123287671232879
2,2,0.169,-1.7108639863130881
2,2,0.17,-1.7094017094017095
2,2,0.171,-1.7079419299743808
