N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
262144,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.0019316521730629091,0.0,0,1
262144,scaled_r,0.1,1,0.1,1.00332844757621,0.24534839157862778,0.002046025163386199,7.479780355789483e-28,2,3
262144,scaled_r,0.2,2,0.2,1.0066568951524202,0.24616373697000232,0.002177117410118827,2.6316878229159895e-14,4,5
262144,scaled_r,0.3,3,0.3,1.0099853427286303,0.2469792110694463,0.0023292199459433996,8.62342966615112e-10,6,7
262144,scaled_r,0.4,4,0.4,1.0133137903048404,0.2477948149781259,0.0025082215739694776,1.5609921217724305e-07,8,9
262144,scaled_r,0.5,5,0.5,1.0166422378810505,0.2486105497965551,0.0027223950488302123,3.5320871311645468e-06,10,11
262144,scaled_r,0.6,6,0.6,1.0199706854572606,0.24942641662459625,0.002983658846033783,2.8256418270205118e-05,12,13
262144,scaled_r,0.7,7,0.7,1.0232991330334706,0.2502424165614705,0.003309637517226934,0.00012478922882727022,14,15
262144,scaled_r,0.8,8,0.8,1.0266275806096807,0.25105855070575794,0.0037270429278150425,0.0003801640279847958,16,17
262144,scaled_r,0.85,9,0.85,1.0282918043977858,0.2514666684488164,0.003982143668110215,0.0006014228199904167,18,19
262144,scaled_r,0.9,10,0.9,1.0299560281858908,0.25187482015540885,0.004277093183574966,0.0009041786040721102,20,21
262144,scaled_r,0.95,11,0.95,1.0316202519739959,0.25228300596268305,0.004620617573306038,0.0013022336716556693,22,23
262144,scaled_r,0.975,12,0.975,1.0324523638680483,0.25248711169692195,0.004813859227061899,0.0015410351444718688,24,25
262144,scaled_r,1,13,1.0,1.033284475762101,0.25269122600774463,0.005023432009529964,0.0018083393425636016,26,27
262144,scaled_r,1.025,14,1.025,1.0341165876561533,0.25289534891228016,0.005251021623498361,0.0021055163260117965,28,29
262144,scaled_r,1.05,15,1.05,1.034948699550206,0.2530994804276602,0.00549845448920014,0.0024338322438602557,30,31
262144,scaled_r,1.1,16,1.1,1.036612923338311,0.25350776935946095,0.006060806293776418,0.0031884007901900662,32,33
262144,scaled_r,1.15,17,1.15,1.038277147126416,0.2539160929401354,0.0067274280930476864,0.004079965875551013,34,35
262144,scaled_r,1.2,18,1.2,1.039941370914521,0.25432445130663806,0.007516161605487872,0.005114654933874076,36,37
262144,scaled_r,1.3,19,1.3,1.0432698184907312,0.25514127294474276,0.00952680359018833,0.007629273694745543,38,39
262144,scaled_r,1.4,20,1.4,1.0465982660669413,0.25595823536863715,0.012195001206890758,0.010748302619935113,40,41
262144,scaled_r,1.45,21,1.45,1.0482624898550463,0.25636676971723105,0.01378917878016077,0.012533389140088764,42,43
262144,scaled_r,1.5,22,1.5,1.0499267136431514,0.25677533967257327,0.015555561943115791,0.014465999404218511,44,45
262144,scaled_r,1.55,23,1.55,1.0515909374312564,0.2571839453713501,0.017489565784564273,0.016542843585848396,46,47
262144,scaled_r,1.6,24,1.6,1.0532551612193615,0.2575925869502138,0.019584851240362616,0.01875989450447901,48,49
262144,scaled_r,1.75,25,1.75,1.0582478325836766,0.2588187283332911,0.026763175407912423,0.026203747269656845,50,51
262144,scaled_r,2,26,2.0,1.0665689515242018,0.26086302765035835,0.04123502111111243,0.04091399845649203,52,53
262144,scaled_r,2.25,27,2.25,1.074890070464727,0.26290825467344187,0.05806349830134008,0.05785969666311366,54,55
262144,scaled_r,2.5,28,2.5,1.0832111894052523,0.2649544264300392,0.07648427617432947,0.07634443259451983,56,57
262144,scaled_r,2.75,29,2.75,1.0915323083457773,0.2670015599259587,0.09588414492704876,0.09578235063893673,58,59
262144,scaled_r,3,30,3.0,1.0998534272863028,0.2690496721457989,0.1157883189466303,0.11571076989121792,60,61
262144,fixed_alpha,1.01,31,0.30044036359396215,1.01,0.24698280240676612,0.0023299441819036484,8.89030870783047e-10,62,63
262144,fixed_alpha,1.03,32,0.9013210907818865,1.03,0.2518856047263533,0.004285502368626339,0.000913411442080404,64,65
262144,fixed_alpha,1.05,33,1.5022018179698107,1.05,0.2567933324266264,0.01563724172131467,0.014554447210140093,66,67
262144,fixed_alpha,1.075,34,2.253302726954713,1.075,0.262935280264487,0.05829798670047974,0.05809528966685378,68,69
262144,fixed_alpha,1.1,35,3.0044036359396213,1.1,0.2690857575821216,0.11614113614878291,0.11606393119265018,70,71
262144,fixed_alpha,1.2,36,6.0088072718792365,1.2,0.2937821497998332,0.32769424931836477,0.32768,72,73
1048576,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.0009658260865314546,0.0,0,1
1048576,scaled_r,0.1,1,0.1,1.0029956028185891,0.2452668640760205,0.0010230650806955306,7.304480199108858e-31,2,3
1048576,scaled_r,0.2,2,0.2,1.0059912056371783,0.24600065763033135,0.0010888405928796625,8.224040654324407e-16,4,5
1048576,scaled_r,0.3,3,0.3,1.0089868084557672,0.24673455525973387,0.0011654161499598467,8.555551127016218e-11,6,7
1048576,scaled_r,0.4,4,0.4,1.0119824112743563,0.2474685577670992,0.0012559394478531966,2.759481170376519e-08,8,9
1048576,scaled_r,0.5,5,0.5,1.0149780140929454,0.2482026659548653,0.0013649082422963236,8.830261376304842e-07,10,11
1048576,scaled_r,0.6,6,0.6,1.0179736169115345,0.24893688062504815,0.0014989476270424636,8.900266732765008e-06,12,13
1048576,scaled_r,0.7,7,0.7,1.0209692197301234,0.24967120257923364,0.0016681460301468788,4.635934063734739e-05,14,15
1048576,scaled_r,0.8,8,0.8,1.0239648225487126,0.25040563261859133,0.0018884052570225323,0.00015984054666064068,16,17
1048576,scaled_r,0.85,9,0.85,1.0254626239580071,0.2507728884204602,0.002025208272592715,0.0002660912611181755,18,19
