resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,1,1.5,0.52559999999999996,0.33786034166718254,0.33786034166718254,1.0624188429175765,25,1.2416590221338348e-14
high,1,1.5,0.5272,0.33766235446571385,0.33766235446571385,1.0608840185267041,25,1.4344229813072414e-14
high,1,1.5,0.52880000000000005,0.3374673937474853,0.3374673937474853,1.0593612733960585,25,1.647598999464877e-14
high,1,1.5,0.53039999999999998,0.33727545661935798,0.33727545661935798,1.0578505560401097,25,1.9049235780321606e-14
high,1,1.5,0.53200000000000003,0.33708652874535705,0.33708652874535705,1.0563518152963276,26,6.1772053410593732e-15
low,1,1.5,0.53200000000000003,0.33710221468393342,0.33710221468393342,1.0563518152963276,26,6.2005063844098099e-15
medium,1,1.5,0.53200000000000003,0.33709135130003715,0.33709135130003715,1.0563518152963276,26,6.2622887114805725e-15
high,1,1.5,0.53359999999999996,0.33690061264820353,0.33690061264820353,1.0548650003232349,26,7.1564275488170927e-15
high,1,1.5,0.53520000000000001,0.33671769720497335,0.33671769720497335,1.0533900605984856,26,8.329510759275181e-15
high,1,1.5,0.53679999999999994,0.33653777914293564,0.33653777914293564,1.0519269459169609,26,9.5627697813845335e-15
high,1,1.5,0.53839999999999999,0.3363608415819368,0.3363608415819368,1.0504756063888827,26,1.111624634281603e-14
high,1,1.5,0.54000000000000004,0.336186898115584,0.336186898115584,1.0490359924379482,26,1.2885945560167643e-14
high,1,1.5,0.54159999999999997,0.33601592614153469,0.33601592614153469,1.0476080547994837,26,1.4813457503972891e-14
high,1,1.5,0.54320000000000002,0.33584792485279685,0.33584792485279685,1.0461917445186149,26,1.715583408206783e-14
high,1,1.5,0.54479999999999995,0.33568288714217054,0.33568288714217054,1.0447870129484584,26,1.9837223444462957e-14
high,1,1.5,0.5464,0.33552080729795525,0.33552080729795525,1.0433938117483301,27,6.9149781932363355e-15
high,1,1.5,0.54800000000000004,0.33536168025918495,0.33536168025918495,1.0420120928819741,27,7.8808391575158713e-15
low,1,1.5,0.54800000000000004,0.33537777965838345,0.33537777965838345,1.0420120928819741,27,7.9393834300675543e-15
medium,1,1.5,0.54800000000000004,0.33536663713937376,0.33536663713937376,1.0420120928819741,27,8.004421808464829e-15
